review_id,text,stars,date
pHwbdway4yeI-dSSmZA7-Q,"We checked in around 2:30 pm.  Check-in was quick and easy with complimentary valet parking (always appreciated).  The Peppermill is huge and reminded us of the Caesars Palace in Las Vegas.  They have around eight restaurants on site offering almost any type of food you could want.  The casino area is huge, rivaling almost anything you could find in Las Vegas.  One thing we noticed is that many of the slot machines were noted as being penny machines, but when you actually started to play them you realized they had minimum bets of anywhere from 30 cents to $5.  Talk about false advertising!  We were in the Tuscany Tower on the 12th floor.  Our room had a nice view of the huge pool area.  Our room was large and featured free WiFi (likewise always appreciated), a huge bathroom area with large shower (with two shower heads), TV, a large jetted bathtub and a phone next to the commode.  There were dual sinks and lots of counter space.  Plenty of towels were supplied.  The roomy main area had a king bed with night stands, closet, TV, mini fridge, dresser with two drawers, a safe, table for computer or writing, complimentary bottles of water, and three nicely upholstered chairs and table.  The thermostat did a good job controlling the temperature and keeping it comfortable.  Staff were all courteous and helpful.  A very nice place and we enjoyed our stay.",4,2017-09-20
ra9fNjYUumKp_iaqv-jjDg,"Comfortable bed, good breakfast, fast internet, great location, and low price. Overall I was really impressed with this place. However, if you stay on the top floors you may be waiting up to 15 minutes for an elevator in the morning.",4,2013-08-15
qdzNocGBnh8U-cvE_N8qbA,"The TV shows are $4.99 and they have commercials! What a cheesy way to make money and a sign of a less than classy hotel, particularly when you pay more than $150 a night.  And there is NO complimentary breakfast, just an overpriced buffet, something even the cheapest hotels in California provide.",1,2012-12-04
gImS1dtA_TixEouDfp2o4g,"I have been to a number of dog friendly hotels...just not in the city and did not know what to expect. Usually they are motel like.  This one was in the heart of the city.

I walked tentatively into the hotel lobby as i have a labrador/golden mix who is not easy to hide.

We got to the front desk to register and i was still feeling uneasy although my  bf had assured me it was a dog friendly hotel. Reception was so nice immediately putting us at ease. As we checked in an attendant asked if Bentley could have treats which she fullly enjoyed. The Reception person also asked if we would like a welcome kit for Bentley. Holy moly. Of course. Dog dishes, a mat, treats, etc. I was blown away.  

Plus the guests at the hotel all stopped to compliment and pet ""queen Bentley"". Our room was on the top floor. Awesome!

Even when i went to walk her the car attendants greeted her by name. We were so impressed with the service we decided to come back an extra night. 

Thank you Loews. I didnt realize a hotel could be so dog friendly especially to a big dog.",4,2017-01-14
O2QGOa66t5BCYDvxLiOtbA,"We stayed at The Saint last year for a girl's trip. The lobby is lovely, they have a cool bar and restaurant that you can't help but to ""ohh and ahh"" over when you walk in.  All the things I'm accustomed too when I stay at a hotel anywhere...ambiance, a little sexy but not overkill! Everyone is so friendly, etc.  I'm thinking ""oh shhhh this is going to be a great weekend!""  I checked in a few hours before my girl arrived because I had a ton of work i needed to do. So I set up my laptop ordered some room service and worked for about 4 hours straight. Left out to buy a bottle and get a mani/pedi.  My girl arrives...its about to be some trouble in NOLA... the two of us and no supervision...we pop out for dinner, come back in giggling as usual and we see it...a HUGH flying roach.  I'm freaked out.  I literally walk right out of the room down to the front desk.  I CANNOT!!!! They tell me they're sending a maintenance worker to handle it.  NOT GOOD ENOUGH! If there's one that's bold enough to show itself, he has other cohorts that prefer to live behind the scenes. They give us another room but tell me they can't do more until 8am.  No the room the move us too also has small spiders and other dead small bugs in the corners of the window. The TV doesn't work and one of the lamps doesn't have bulbs in it! COME ON!  At this point its about 3am and I know I'm not staying here past 8:15am. I dont want to sit my purse let alone my luggage in this hotel! I go online to my normal go to hotel, The W and book us there for the rest of the trip! 8am comes and goes no manager comes to our room. I go down and demand to see someone immediately.  This younger gentlemen comes out and apologizes.  I thank him for his apology and politely request ALL of my money back immediately.   He obliged and asked if  I would consider coming back after changes have been made! Bless his heart. NO dear!",1,2017-04-19
LDuli7valYv5N5RVFWb70w,"The bar and staff are AMAZING. we got a room upgrade for have been being on our honeymoon and the view was gorgeous. But, the room was not any better than a hilton. It had rust in the tub floor, and some weird stains on the tile. But this was only in the bathroom, so i give it 4 stars! Great staff, but too much for valet so we parked a couple streets down. That was the only other con I would say. 

Would recommend if you want to be literally in the working downtown area of st. louis. Lots of cool bars and restaurants on a friday night.",4,2018-04-04
Lj1TAURE_hYtPW3IlhKWMg,"Stayed here three nights on business.  The property is located very close to the airport but you really don't hear it.  The rooms are standard TownePlace Suite rooms with a refrigerator, stove, etc..  The area in which the hotel is located is quiet with a combination of other hotels and office buildings.  It's about a 20 minute drive to the downtown or university area.  About 5-10 minutes from Pima Air Museum.  There are not too many restaurants close by but there are some fast food options and a sandwich place called Baggins that was really good and within walking distance.  The staff of the hotel was really friendly and helpful.  The breakfast is standard continental with a couple of hot options. They also have a reception on weekday evenings.  My only complaint is that the food and drink go quickly so get there early.  You could use this as a dinner if you wanted.  I got there about 45 minutes after it started and although there was food left there were very few soft drinks left (no diet).  They could improve by keeping the area stocked throughout the period.  Anyway, the rooms are nice, beds are comfortable and area is safe.",5,2015-02-16
ZNZMWPfPdbbM7dhZlIpoFA,Took a while to get actual service but once we did I was happy. The gumbo was awesome and loved the chicken & waffles. Friendly staff and right on Bourbon St for good people watching!,4,2015-05-26
HSjRz31mvRBQRo8deXrr_w,"Too big, too expensive and too far from Downtown.  

I was here for a conference, which seemed like an awesome idea. It wasn't.  I'm in Direct Sales and (like most people at this conference) don't have tons of extra money to spend on mediocre meals when I'm traveling.  $10 for a slice of generic pizza, small side salad and a soda for lunch.   I understand it's a hotel but there weren't any options close by.  Just getting your car from valet was a hassle and took a lot of time.  Being such a big property, it made getting to restaurants off the property really time intensive.  Since you're so far out of Nashville (out near the airport), the good little holes you find when you're in a city are pretty nonexistent.  

The property itself was great.  The hotel is HUGE but really pretty.  I enjoyed walking around but was really happy when I found what I didn't know existed...a shortcut between my room and the Convention Center.  It took my 10-15 minute walk down to about 3 minutes!  BONUS!  Like I said, this place is ginormous.  

Room: Our room was great.  I shared a wonderful suite in the Garden Conservatory with 2 other girls.  We were under a group rate and my friend was quoted $200/night, which is awesome for the space we had.  We had a large room (probably used as a hospitality suite for groups) for socializing.  It had a great bar area set-up and a nice big fridge and lots of drawer space.  Our bedroom was separated by doors that could be locked from either side (like an adjoining room), so it looked like the hospitality suite could be reserved without reserving the room.  It was different than what I was expecting, but whatevs.  It was fine.  So, I wasn't there at check-in.  The girl who reserved the room checked in a couple days earlier than my friend and I.  So, Sunday comes, and the bill was waiting for us when we woke up.  Our friend was charged $1200 for one room (I'm guessing the suite) and $1400 for the other room.  YEP.  She reserved what she thought was a 2 room suite for $200.  The bedroom door was closed when she got there and she asked them to open it up. It was all arranged by the bellman.  She was never told that the bedroom wasn't included....kind of necessary if you're staying over for 6 nights, dontcha think???  So, she's being charged $2600 for what was supposed to be $1200.  Last I heard, the Gaylord's legal department was investigating what she was told, what she wasn't told and if they should charge her the entire amount.  

Checkout:  A FREAKING NIGHTMARE.  Between the money situation, which was not resolved as of late this week, and the 45 minute wait for a cart (in a hotel that holds thousands of people, you'd think they'd be plentiful and they aren't) and a 25 minute wait for the car, my friend and I decided to sweat it out and schlep our goods to the door where our car would be delivered to us.  It was not a short walk and we had a TON of stuff, which meant multiple trips.  UGH.

I'm sure I'll be back for another conference (I am pretty sure my company has booked this for at least one more year....) but I'm not going to be happy about it.  I might even consider driving down, staying in a hotel somewhere downtown and driving out to the Conference stuff.",2,2013-08-03
fwkS8EOq6mS5Jf_OYf5fZw,"We used The Hollander Hotel for our wedding hotel and it was an absolutely incredible experience.  I will never get tired of raving about our experience.  We were honored to use the Hollander not only for our room block and wedding night suite, but we also used the Tap Room as our after-party location and we hosted a brunch for our guests on the beautiful patio on Sunday morning after the wedding.  Everything was perfection and if we could do it all over again, we wouldn't change a thing!

The hotel property is absolutely charming.  The décor in the lobby is beautiful, eclectic, and very welcoming.  The Tap Room is a great place for people to gather with intimate booths and large tables for bigger parties.  The Bar has an amazing selection of local and craft beers and the servers and bartenders are all professional and fast! We were able to use the Lobby and Tap Room for some of our wedding photographs too, and they all look wonderful!

The rooms are very pleasant and quaint and our guests all complimented on how clean and cozy they were.  The prices were also wonderful and our guests were able to enjoy downtown St. Pete because of the great location.  The shuttle is also very convenient and a great experience for guests!

The brunch was perfect.  Not only was the price great for an all-you-can-enjoy feast, but the food is delicious and homemade.  The wonderful gentleman who makes the omelets is friendly, fast, and takes great pride in his work.  He is also a talented baker and I couldn't get enough of the chocolate muffins he made!  The service at the new coffee/dessert café was wonderful!  The Patio was a great place to visit with our guests and enjoy the beautiful St. Pete weather. We look forward to many more brunches there in the future! 

Finally, the best part of all is the management and team at the Hollander.  Nick and Will treated us like their own family.  They went above and beyond to ensure that each of our guests felt like they were at home and comfortable.  Zach at the front desk was so friendly and patient with me as I called checking on our room block.  The entire team was just a delight and so very accommodating.  They take great pride in ensuring that every guest has a wonderful experience.  We just adore everyone there!  I absolutely loved working with them and would recommend this beautiful hotel to anyone!",5,2014-03-14
NzvlG7XNjk5cKaCPtZa-eA,"This is one of the best hotels I have ever stayed at.  Clean, polite staff, nice pool and grand entrance.   I can't wait until next year to come back.",5,2015-08-30
_9vmN7JQg7gezvlMTu35cA,"As motels go this one is very nice for the rate. Clean, comfortable and well-managed. You get what you pay for so the breakfast buffet is just OK. The pool is too small to swim laps (disappointing). The lobby area is spacious and comportable. 

If you are looking for a moderately priced place to sleep that is clean and comforable this will suit you just fine.",3,2011-11-30
3Qwi1Q4ea7OJPpueQVEoBQ,"I stayed at the Orange St location from Friday to Monday.

Arrival: I already read plenty of reviews about no signs marking the location therefore, I looked for Starbucks. I parked in a spot in front of the multi business complex. I went inside to find a guard at a desk that said we have been contracted to hand guests their keys and room number and nothing more. He advised me there was a phone that was on the wall that I could make a call to someone if I needed to. He also stated that the very few parking spots in front were free* only on the weekend.

The Room: This wasn't a room, this was an apartment and I absolutely loved it. It was very spacious and had everything I sought* after for that weekend, such as: fully stocked kitchen, a desk, lots of space, king bed, huge table, nice living room, lots of closets. My only complaint is that I could not open any windows for fresh air...they are nailed/screwed shut. There was also a small welcome bag w cookies and water and papers letting you know where all the food delivery locations and numbers.
There wasn't maid service knocking loudly or trying to barge in early in the morning. This place is more of a long term setting and I'm sure the maids come around during the week Monday-Friday if you desire. I was only here for 3 days and I was fine with that. I went shopping at Shoprite and filled my fridge with water and breakfast to cook.

Overall: This place is awesome, I had a huge living room to entertain my guests when they visited, and a nice desk to study my Anatomy notes. I forgot to mention how quiet** this place is. I loved it. I felt as if no one was there except me. Very quiet* which worked for me on Sunday bc I had lots of studying to do and two TV's to watch The Walking Dead on. Lol!  I would most definitely stay here again. Very spacious and updated. Loved it!",4,2015-11-18
